title,authors,affiliation,venue,year,latitude,longitude
Maternal Health Risk.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Product Classification and Clustering.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Image Recognition Task Execution Times in Mobile Edge Computing.,"Ibrahim Alghamdi, Christos Anagnostopoulos, Dimitrios Pezaros",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Recipe Reviews and User Feedback.,"Amir Ali, Stanislaw Matuszewski, Jacek Czupyt",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Ajwa or Medjool.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
TUANDROMD (Tezpur University Android Malware Dataset).,"Parthajit Borah, Dhruba K. Bhattacharyya",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Differentiated Thyroid Cancer Recurrence.,"Shiva Borzooei, Aidin Tarokhian",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
TamilSentiMix.,"Bharathi Raja Chakravarthi, Vigneshwaran Muralidaran, Ruba Priyadharshini, John P. McCrae",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Sepsis Survival Minimal Clinical Records.,"Davide Chicco, Giuseppe Jurman",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Raisin.,"Ilkay Cinar, Murat Koklu, Sakir Tasdemir",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
MetroPT-3 Dataset.,"Narjes Davari, Bruno Veloso, Rita P. Ribeiro, João Gama 0001",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Cirrhosis Patient Survival Prediction.,"E. Rolland Dickson, Patricia M. Grambsch, Thomas R. Fleming, Lloyd D. Fisher, Alice Langworthy",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Steel Industry Energy Consumption.,"Sathishkumar V. E., Chang-Sun Shin, Yongyun Cho",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Turkish User Review Dataset.,"Ekin Ekinci, Sevinç Ilhan Omurca",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Turkish Music Emotion.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
NASA Flood Extent Detection.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Bongabdo.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
AIDS Clinical Trials Group Study 175.,"Scott M. Hammer, David A. Katzenstein, Michael D. Hughes, Holly Gundacker, Robert T. Schooley, Richard Haubrich, W. Keith Henry, Michael M. Lederman, John P. Phair, Manette Niu, Martin S. Hirsch, Thomas C. Merigan",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Jute Pest.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Risk Factor Prediction of Chronic Kidney Disease.,"Md. Ashiqul Islam, Shamima Akter",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
HARTH.,"Aleksej Logacjov, Atle Kongsvold, Kerstin Bach, Hilde Bremseth Bårdstu, Paul Jarle Mork",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
HAR70+.,"Aleksej Logacjov, Astrid Ustad",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Single elder home monitoring: Gas and position.,"Daniel Marín López, Daniel Marin, Jordi Fonollosa, Joshua Llano, Alexandre Perera, Zouhair Haddi",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Rocket League Skillshots.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Roman Urdu Sentiment Analysis Dataset (RUSAD).,"Khawar Mehmood, Daryl Essam, Muhammad Kamran Malik",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Gender Gap in Spanish WP.,"Julià Minguillón, Julio Meneses, Eduard Aibar, Núria Ferran-Ferrer, Sergi Fàbregues",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Large-scale Wave Energy Farm.,"Mehdi Neshat, Bradley Alexander, Nataliia Y. Sergiienko, Markus Wagner 0007",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
REJAFADA.,"Ricardo Pinheiro, Sidney M. L. de Lima, Sérgio M. M. Fernandes, Edison de Queiroz Albuquerque, Danilo Souza, Thyago Monteiro, Petrônio Lopes, Rafael Lima, Jemerson Oliveira, Sthéfano Henrique Mendes Tavares Silva",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Power Consumption of Tetouan City.,"Abdulwahed Salam, Abdelaaziz El Hibaoui",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Accelerometer.,"Gustavo Scalabrini Sampaio, Arnaldo Rabello de Aguiar Vallim Filho, Leilton Santos da Silva, Leandro Augusto da Silva 0001",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Room Occupancy Estimation.,"Adarsh Pal Singh, Sachin Chaudhari",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Average Localization Error (ALE) in sensor node localization process in WSNs.,"Abhilash Singh, Vaibhav Kotiyal, Sandeep Sharma 0001, Jaiprakash Nagar, Cheng-Chi Lee",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
RealWaste.,"Sam Single, Saeid Iranmanesh, Raad Raad",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
9mers from cullpdb.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Visegrad Group companies data.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Non Verbal Tourists.,"Claudia C. Tussell-Rey, Ricardo Tejeida-Padilla, Oscar Camacho-Nieto, Yenny Villuendas-Rey, Cornelio Yáñez-Márquez",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Secondary Mushroom.,"Dennis Wagner, Dominik Heider, Georges Hattab",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
TCGA Kidney Cancers.,"John N. Weinstein, Eric A. Collisson, Gordon B. Mills, Kenna R. Mills Shaw, Brad A. Ozenberger, Kyle Ellrott, Ilya Shmulevich, Chris Sander, Joshua M. Stuart",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Higher Education Students Performance Evaluation.,"Nevriye Yilmaz, Boran Sekeroglu",UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Influenza Outbreak Event Prediction via Twitter.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2023,,
Machine Learning Capability: A standardized metric using case difficulty with applications to individualized deployment of supervised machine learning.,"Adrienne S. Kline, Joon Lee",CoRR,CoRR,2023,53.9634467,-7.4991271
Does Machine Learning Amplify Pricing Errors in the Housing Market? - The Economics of Machine Learning Feedback Loops.,"Nikhil Malik, Emaad Manzoor",CoRR,CoRR,2023,53.9634467,-7.4991271
What Causes Exceptions in Machine Learning Applications? Mining Machine Learning-Related Stack Traces on Stack Overflow.,"Amin Ghadesi, Maxime Lamothe, Heng Li 0007",CoRR,CoRR,2023,53.9634467,-7.4991271
Exploring the Vulnerabilities of Machine Learning and Quantum Machine Learning to Adversarial Attacks using a Malware Dataset: A Comparative Analysis.,"Mst. Shapna Akter, Hossain Shahriar, Iysa Iqbal, Md Faruque Hossain, M. A. Karim, Victor Clincy, Razvan Voicu",CoRR,CoRR,2023,53.9634467,-7.4991271
Supervised Machine Learning and Physics based Machine Learning approach for prediction of peak temperature distribution in Additive Friction Stir Deposition of Aluminium Alloy.,Unknown Author,CoRR,CoRR,2023,53.9634467,-7.4991271
A Machine Learning-oriented Survey on Tiny Machine Learning.,"Luigi Capogrosso, Federico Cunico, Dong Seon Cheng, Franco Fummi, Marco Cristani",CoRR,CoRR,2023,53.9634467,-7.4991271
Physics-aware Machine Learning Revolutionizes Scientific Paradigm for Machine Learning and Process-based Hydrology.,"Qingsong Xu, Yilei Shi, Jonathan L. Bamber, Ye Tuo, Ralf Ludwig, Xiao Xiang Zhu 0001",CoRR,CoRR,2023,53.9634467,-7.4991271
"The Pros and Cons of Using Machine Learning and Interpretable Machine Learning Methods in psychiatry detection applications, specifically depression disorder: A Brief Review.","Hossein Simchi, Samira Tajik",CoRR,CoRR,2023,53.9634467,-7.4991271
"The Landscape of Modern Machine Learning: A Review of Machine, Distributed and Federated Learning.","Omer Subasi, Oceane Bel, Joseph B. Manzano, Kevin Barker",CoRR,CoRR,2023,53.9634467,-7.4991271
Machine Learning with Python - Theory and Applications,Unknown Author,Machine Learning with Python,Machine Learning with Python,2022,,
A holistic approach to learning analytics and educational data mining in distance learning through data and machine learning pipelines,Unknown Author,Unknown Venue,Unknown Venue,2022,,
Sensitivity analysis and algorithmic fairness for machine learning and artificial intelligence. (Analyse de sensibilité et équité algorithmique pour le machine learning et l&apos;intelligence artificielle).,Unknown Author,Unknown Venue,Unknown Venue,2022,,
Automatic Source-to-Source Optimizations using Machine Learning. (L&apos;automatisation des optimisations source-à -source de programmes en utilisant des techniques de Machine Learning).,Unknown Author,Unknown Venue,Unknown Venue,2022,,
Automation of quality control and reduction of non-compliance using machine learning techniques at Faurecia Clean Mobility. (Automatisation du contrôle qualité et réduction des non conformités en utilisant des techniques de machine learning chez Faurecia Clean Mobility).,Unknown Author,Unknown Venue,Unknown Venue,2022,,
Interpretable Machine Learning Models via Maximum Boolean Satisfiability. (Interpretable Machine Learning Models via Maximum Boolean Satisfiability).,Unknown Author,Unknown Venue,Unknown Venue,2022,,
Conception et développement des méthodes de prédiction de la durée de séjour hospitalier centrées sur des techniques de &quot;machine learning&quot;. (Lenght of stay prediction in hospitals using machine learning).,Unknown Author,Unknown Venue,Unknown Venue,2022,,
"Analyse, classification et prédiction de consommation d&apos;eau et d&apos;électricité par des techniques de machine learning. (Analysis, classification and prediction of water and electricity consumption by machine learning techniques).",Unknown Author,Unknown Venue,Unknown Venue,2022,,
Mary-Morstan: a multi-objective modular framework to automatically configure machine learning algorithms. (Mary-Morstan: un framework modulaire et multiobjectif pour la configuration automatique d&apos;algorithmes de machine learning).,Unknown Author,Unknown Venue,Unknown Venue,2022,,
Ensemble Machine Learning Methods to Predict the Balancing of Ayurvedic Constituents in the Human Body Ensemble Machine Learning Methods to Predict.,"Vani Rajasekar, Sathya Krishnamoorthi, Muzafer Saracevic, Dzenis Pepic, Mahir Zajmovic, Haris Zogic",Comput. Sci.,Comput. Sci.,2022,,
"The two-stage machine learning ensemble models for stock price prediction by combining mode decomposition, extreme learning machine and improved harmony search algorithm.","Manrui Jiang, Lifen Jia, Zhensong Chen 0001, Wei Chen 0061",Ann. Oper. Res.,Ann. Oper. Res.,2022,,
Real-time prediction of science student learning outcomes using machine learning classification of hemodynamics during virtual reality and online learning sessions.,"Richard L. Lamb, Knut Neumann, Kayleigh A. Linder",Comput. Educ. Artif. Intell.,Comput. Educ. Artif. Intell.,2022,,
Poisoning Attacks Against Machine Learning: Can Machine Learning Be Trustworthy?,"Alina Oprea, Anoop Singhal, Apostol Vassilev 0001",Computer,Computer,2022,50.91225,14.44788
Ensemble learning of deep learning and traditional machine learning approaches for skin lesion segmentation and classification.,"Adil H. Khan, Dayang Nurfatimah Awang Iskandar, Jawad F. Al-Asad, Hiren K. Mewada, Muhammad Abid Sherazi",Concurr. Comput. Pract. Exp.,Concurr. Comput. Pract. Exp.,2022,,
"Integrated Evolutionary Learning: An Artificial Intelligence Approach to Joint Learning of Features and Hyperparameters for Optimized, Explainable Machine Learning.","Nina de Lacy, Michael J. Ramshaw, J. Nathan Kutz",Frontiers Artif. Intell.,Frontiers Artif. Intell.,2022,,
Role of Machine Element Applications (MEA) as Interactive Mobile Learning to Support the Implementation of Distance Learning in Machine Element Course.,"Riana Nurmalasari, Marsono, Abd Kadir Mahamad",Int. J. Interact. Mob. Technol.,Int. J. Interact. Mob. Technol.,2022,,
Teaching core principles of machine learning with a simple machine learning algorithm: the case of the KNN algorithm in a high school introduction to data science course.,"Orit Hazzan, Koby Mike",Inroads,Inroads,2022,52.0528063,0.9775159606834385
Learning Behavior Analysis to Identify Learner&apos;s Learning Style based on Machine Learning Techniques.,"Zohra Mehenaoui, Yacine Lafifi, Layachi Zemmouri",J. Univers. Comput. Sci.,J. Univers. Comput. Sci.,2022,,
"Estimation of voting behavior in election using support vector machine, extreme learning machine and deep learning.","Nural Imik Tanyildizi, Harun Tanyildizi",Neural Comput. Appl.,Neural Comput. Appl.,2022,,
Tracking machine learning models for pandemic scenarios: a systematic review of machine learning models that predict local and global evolution of pandemics.,"Marcelo Benedeti Palermo, Lucas Micol Policarpo, Cristiano André da Costa, Rodrigo da Rosa Righi",Netw. Model. Anal. Health Informatics Bioinform.,Netw. Model. Anal. Health Informatics Bioinform.,2022,,
Contrasting Explain-ML with Interpretability Machine Learning Tools in Light of Interactive Machine Learning Principles.,"Bárbara Gabrielle C. O. Lopes, Liziane Santos Soares, Raquel Oliveira Prates, Marcos André Gonçalves",J. Interact. Syst.,J. Interact. Syst.,2022,,
Machine Learning Models for Slope Stability Classification of Circular Mode Failure: An Updated Database and Automated Machine Learning (AutoML) Approach.,"Junwei Ma, Sheng Jiang, Zhiyang Liu, Zhiyuan Ren, Dongze Lei, Chunhai Tan, Haixiang Guo",Sensors,Sensors,2022,49.436102250000005,11.051571946416914
Power System Faults Detection Based on Deep Learning and Support Vector Machine Supervised Machine Learning Techniques.,"Nouha Bouchiba, Azeddine Kaddouri, Amor Ounissi",CoDIT,CoDIT,2022,38.7471602,-9.1535694
What constitutes a machine-learning-driven business model? A taxonomy of B2B start-ups with machine learning at their core.,"Oliver A. Vetter, Felix Sebastian Hoffmann, Luisa Pumplun, Peter Buxmann",ECIS,ECIS,2022,-41.46302,147.1547627
Advantage of Machine Learning over Maximum Likelihood in Limited-Angle Low-Photon X-Ray Tomography.,"Zhen Guo, Jung Ki Song, George Barbastathis, Michael E. Glinsky, Courtenay T. Vaughan, Kurt W. Larson, Bradley K. Alpert, Zachary H. Levine",Machine Learning for Scientific Imaging,Machine Learning for Scientific Imaging,2022,,
Machine Learning for Scientific Imaging 2022 Conference Overview and Papers Program.,,Machine Learning for Scientific Imaging,Machine Learning for Scientific Imaging,2022,,
Critical Tools for Machine Learning: Working with Intersectional Critical Concepts in Machine Learning Systems Design.,"Goda Klumbyte, Claude Draude, Alex S. Taylor",FAccT,FAccT,2022,,
